frame,timestamp,wall_clock_time,gesture,confidence,threshold,raw_gesture
176,8.8,12.326569318771362,GESTURE,0.9391306340322447,0.8,GESTURE
177,8.85,12.403075933456421,GESTURE,0.9591596988295258,0.8,GESTURE
178,8.9,12.464094400405884,GESTURE,0.9300656188251523,0.8,GESTURE
179,8.95,12.540618658065796,GESTURE,0.9191957391690826,0.8,GESTURE
180,9.0,12.61566424369812,GESTURE,0.8708237101591916,0.8,GESTURE
181,9.05,12.692168951034546,NoGesture,0.0,0.8,NoGesture
182,9.1,12.753182888031006,NoGesture,0.0,0.8,NoGesture
183,9.15,12.827823400497437,NoGesture,0.0,0.8,NoGesture
184,9.2,12.889823198318481,NoGesture,0.0,0.8,NoGesture
185,9.25,12.951345443725586,NoGesture,0.0,0.8,NoGesture
186,9.3,13.010347843170166,NoGesture,0.0,0.8,NoGesture
187,9.35,13.070856094360352,NoGesture,0.0,0.8,NoGesture
188,9.4,13.145869255065918,NoGesture,0.0,0.8,NoGesture
189,9.45,13.221375942230225,NoGesture,0.0,0.8,NoGesture
190,9.5,13.281884670257568,NoGesture,0.0,0.8,NoGesture
191,9.55,13.357871770858765,NoGesture,0.0,0.8,NoGesture
192,9.6,13.417933940887451,NoGesture,0.0,0.8,NoGesture
193,9.65,13.494951963424683,GESTURE,0.8080198679298318,0.8,GESTURE
194,9.7,13.586160898208618,GESTURE,0.8713549778619739,0.8,GESTURE
195,9.75,13.646681070327759,GESTURE,0.9088277103674549,0.8,GESTURE
196,9.8,13.70768404006958,GESTURE,0.9296865892399211,0.8,GESTURE
197,9.85,13.768203020095825,GESTURE,0.9359906562411351,0.8,GESTURE
198,9.9,13.843714475631714,GESTURE,0.9524679805087818,0.8,GESTURE
199,9.95,13.920730113983154,GESTURE,0.957808773679194,0.8,GESTURE
200,10.0,13.980446100234985,GESTURE,0.9451264337626754,0.8,GESTURE
201,10.05,14.056954622268677,GESTURE,0.8821838135703904,0.8,GESTURE
202,10.1,14.132976531982422,GESTURE,0.9072951375355516,0.8,GESTURE
203,10.15,14.20848560333252,GESTURE,0.941453624964702,0.8,GESTURE
204,10.2,14.268991947174072,GESTURE,0.9458709163742018,0.8,GESTURE
205,10.25,14.330008506774902,GESTURE,0.9462086613464379,0.8,GESTURE
206,10.3,14.390008211135864,GESTURE,0.9462335799405343,0.8,GESTURE
207,10.35,14.45052456855774,GESTURE,0.9283872027782399,0.8,GESTURE
208,10.4,14.510370016098022,GESTURE,0.8797807283104946,0.8,GESTURE
209,10.45,14.570875883102417,NoGesture,0.0,0.8,NoGesture
210,10.5,14.646898984909058,NoGesture,0.0,0.8,NoGesture
211,10.55,14.706902027130127,NoGesture,0.0,0.8,NoGesture
212,10.6,14.767536640167236,NoGesture,0.0,0.8,NoGesture
213,10.65,14.827550172805786,NoGesture,0.0,0.8,NoGesture
214,10.7,14.920060157775879,NoGesture,0.0,0.8,NoGesture
215,10.75,14.993076801300049,NoGesture,0.0,0.8,NoGesture
216,10.8,15.05409288406372,NoGesture,0.0,0.8,NoGesture
217,10.85,15.126989841461182,NoGesture,0.0,0.8,NoGesture
218,10.9,15.189496755599976,NoGesture,0.0,0.8,NoGesture
219,10.95,15.265175104141235,NoGesture,0.0,0.8,NoGesture
220,11.0,15.325683832168579,NoGesture,0.0,0.8,NoGesture
221,11.05,15.401189088821411,NoGesture,0.0,0.8,NoGesture
222,11.1,15.464708805084229,NoGesture,0.0,0.8,NoGesture
223,11.15,15.525232076644897,NoGesture,0.0,0.8,NoGesture
224,11.2,15.598740577697754,NoGesture,0.0,0.8,NoGesture
225,11.25,15.67525839805603,NoGesture,0.0,0.8,NoGesture
226,11.3,15.767271995544434,NoGesture,0.0,0.8,NoGesture
227,11.35,15.841286659240723,NoGesture,0.0,0.8,NoGesture
228,11.4,15.918130159378052,NoGesture,0.0,0.8,NoGesture
229,11.45,15.993144989013672,NoGesture,0.0,0.8,NoGesture
230,11.5,16.06817317008972,NoGesture,0.0,0.8,NoGesture
231,11.55,16.128527641296387,NoGesture,0.0,0.8,NoGesture
232,11.6,16.188527822494507,NoGesture,0.0,0.8,NoGesture
233,11.65,16.26514959335327,NoGesture,0.0,0.8,NoGesture
234,11.7,16.343671321868896,NoGesture,0.0,0.8,NoGesture
235,11.75,16.401671171188354,NoGesture,0.0,0.8,NoGesture
236,11.8,16.462682485580444,NoGesture,0.0,0.8,NoGesture
237,11.85,16.523266315460205,NoGesture,0.0,0.8,NoGesture
238,11.9,16.600269317626953,NoGesture,0.0,0.8,NoGesture
239,11.95,16.658786296844482,NoGesture,0.0,0.8,NoGesture
240,12.0,16.73380732536316,NoGesture,0.0,0.8,NoGesture
241,12.05,16.79380750656128,NoGesture,0.0,0.8,NoGesture
242,12.1,16.854409217834473,NoGesture,0.0,0.8,NoGesture
243,12.15,16.945430040359497,NoGesture,0.0,0.8,NoGesture
244,12.2,17.021445989608765,NoGesture,0.0,0.8,NoGesture
245,12.25,17.096951007843018,NoGesture,0.0,0.8,NoGesture
246,12.3,17.172963619232178,NoGesture,0.0,0.8,NoGesture
247,12.35,17.247987747192383,NoGesture,0.0,0.8,NoGesture
248,12.4,17.323283910751343,NoGesture,0.0,0.8,NoGesture
249,12.45,17.383790731430054,NoGesture,0.0,0.8,NoGesture
250,12.5,17.45950174331665,NoGesture,0.0,0.8,NoGesture
251,12.55,17.520368337631226,NoGesture,0.0,0.8,NoGesture
252,12.6,17.58187437057495,NoGesture,0.0,0.8,NoGesture
253,12.65,17.65789008140564,NoGesture,0.0,0.8,NoGesture
254,12.7,17.720409631729126,NoGesture,0.0,0.8,NoGesture
255,12.75,17.779411792755127,NoGesture,0.0,0.8,NoGesture
256,12.8,17.854851007461548,NoGesture,0.0,0.8,NoGesture
257,12.85,17.945868253707886,NoGesture,0.0,0.8,NoGesture
258,12.9,18.00888466835022,NoGesture,0.0,0.8,NoGesture
259,12.95,18.068029403686523,NoGesture,0.0,0.8,NoGesture
260,13.0,18.125404119491577,NoGesture,0.0,0.8,NoGesture
261,13.05,18.19017744064331,NoGesture,0.0,0.8,NoGesture
262,13.1,18.28118896484375,NoGesture,0.0,0.8,NoGesture
263,13.15,18.343703985214233,NoGesture,0.0,0.8,NoGesture
264,13.2,18.40170407295227,GESTURE,0.8265764144287193,0.8,GESTURE
265,13.25,18.46222233772278,GESTURE,0.8431304236600122,0.8,GESTURE
266,13.3,18.52324366569519,NoGesture,0.0,0.8,NoGesture
267,13.35,18.58423924446106,NoGesture,0.0,0.8,NoGesture
268,13.4,18.66025471687317,NoGesture,0.0,0.8,NoGesture
269,13.45,18.71976327896118,NoGesture,0.0,0.8,NoGesture
270,13.5,18.79677677154541,NoGesture,0.0,0.8,NoGesture
271,13.55,18.858420372009277,NoGesture,0.0,0.8,NoGesture
272,13.6,18.917929649353027,NoGesture,0.0,0.8,NoGesture
273,13.65,19.008946895599365,NoGesture,0.0,0.8,NoGesture
274,13.7,19.084467887878418,NoGesture,0.0,0.8,NoGesture
275,13.75,19.159976720809937,NoGesture,0.0,0.8,NoGesture
276,13.8,19.219992637634277,NoGesture,0.0,0.8,NoGesture
277,13.85,19.29695725440979,GESTURE,0.807555031926026,0.8,GESTURE
278,13.9,19.387611389160156,GESTURE,0.8530594117030068,0.8,GESTURE
279,13.95,19.44862461090088,GESTURE,0.8849562807385121,0.8,GESTURE
280,14.0,19.509140729904175,GESTURE,0.8618439490560948,0.8,GESTURE
281,14.05,19.569647073745728,GESTURE,0.8242585357426245,0.8,GESTURE
282,14.1,19.630666255950928,NoGesture,0.0,0.8,NoGesture
283,14.15,19.691172122955322,GESTURE,0.8477254839101117,0.8,GESTURE
284,14.2,19.767186403274536,NoGesture,0.0,0.8,NoGesture
285,14.25,19.8431978225708,GESTURE,0.8570041131726617,0.8,GESTURE
286,14.3,19.934210300445557,GESTURE,0.8128809563314258,0.8,GESTURE
287,14.35,19.995224952697754,GESTURE,0.883929491407848,0.8,GESTURE
288,14.4,20.05524778366089,GESTURE,0.896429033410623,0.8,GESTURE
289,14.45,20.114753246307373,GESTURE,0.9265068380509193,0.8,GESTURE
290,14.5,20.19087862968445,GESTURE,0.9438037069928839,0.8,GESTURE
291,14.55,20.25071120262146,GESTURE,0.9306641472846292,0.8,GESTURE
292,14.6,20.31071448326111,GESTURE,0.9075121796923514,0.8,GESTURE
293,14.65,20.371726512908936,GESTURE,0.88374092575532,0.8,GESTURE
294,14.7,20.448371171951294,GESTURE,0.8447719807909833,0.8,GESTURE
295,14.75,20.524385452270508,NoGesture,0.0,0.8,NoGesture
296,14.8,20.58548355102539,NoGesture,0.0,0.8,NoGesture
297,14.85,20.664005041122437,NoGesture,0.0,0.8,NoGesture
298,14.9,20.738024711608887,NoGesture,0.0,0.8,NoGesture
299,14.95,20.798530340194702,NoGesture,0.0,0.8,NoGesture
300,15.0,20.859039068222046,NoGesture,0.0,0.8,NoGesture
301,15.05,20.950059413909912,NoGesture,0.0,0.8,NoGesture
302,15.1,21.026581287384033,NoGesture,0.0,0.8,NoGesture
303,15.15,21.086912393569946,NoGesture,0.0,0.8,NoGesture
304,15.2,21.162503004074097,NoGesture,0.0,0.8,NoGesture
305,15.25,21.24051809310913,NoGesture,0.0,0.8,NoGesture
306,15.3,21.31458020210266,NoGesture,0.0,0.8,NoGesture
307,15.35,21.39021325111389,GESTURE,0.8260849916197275,0.8,GESTURE
308,15.4,21.451744079589844,NoGesture,0.0,0.8,NoGesture
309,15.45,21.52781081199646,NoGesture,0.0,0.8,NoGesture
310,15.5,21.603933572769165,NoGesture,0.0,0.8,NoGesture
